#metadataBlock	name	dataverseAlias	displayName	blockURI												
	customNRD	NegotiationDataRepository	Negotiation Data Repository Metadata													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	nrdDataType	Data Type	The type of data included in the dataset's files		text	0		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		customNRD	
	nrdOtherDataType	Other Data Type	Another type of data included in the dataset's files		text	1		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE		customNRD	
	nrdSourceOfDataParticipants	Source of Data/Participants			text	2		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
	nrdSampleSize	Sample Size			text	3		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
	nrdNegotiationContext	Negotiation Context			text	4		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		customNRD	
	nrdOtherNegotiationContext	Other Negotiation Context			text	5		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE		customNRD	
	nrdStudyDesignRandomization	Study Design Randomization	Randomization in the study design (e.g. to different conditions, roles)		textbox	6		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE		customNRD	
	nrdIRBApproval	I confirm that I have IRB approval to share these data for academic purposes	Whether or not there's IRB approval to share these data for academic purposes		text	7		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
	nrdNoPIIConfirmation	I confirm that these data do not contain any direct personal identifiers	Whether or not these data contain any direct personal identifiers		text	8		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
	nrdConsentConfirmation	I confirm that all people in this dataset have given informed consent	Whether or not all people in this dataset have given informed consent		text	9		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
	nrdVariableConfirmation	I confirm that I have created a data dictionary/survey legend explaining the variables in my dataset	Whether or not a data dictionary or survey legend has been created to explain the variables in the dataset		text	10		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		customNRD	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	nrdDataType	Lab survey and simulation data		0												
	nrdDataType	Field survey data		1												
	nrdDataType	Transcripts		2												
	nrdDataType	Negotiated agreements		3												
	nrdDataType	Other (please specify in Other Data Type)		4												
	nrdSourceOfDataParticipants	Student sample, in class		0												
	nrdSourceOfDataParticipants	Student sample, outside of class		1												
	nrdSourceOfDataParticipants	Practitioners		2												
	nrdSourceOfDataParticipants	Snowball or other emergent engagement		3												
	nrdSourceOfDataParticipants	Representative sampling from population		4												
	nrdSourceOfDataParticipants	Convenience sample (e.g. mechanical turk, prolific)		5												
	nrdSampleSize	0-50		0												
	nrdSampleSize	51-100		1												
	nrdSampleSize	101-250		2												
	nrdSampleSize	251-500		3												
	nrdSampleSize	501-1000		4												
	nrdSampleSize	Over 1000		5												
	nrdNegotiationContext	Business/commercial		0												
	nrdNegotiationContext	Non-profit		1												
	nrdNegotiationContext	Government		2												
	nrdNegotiationContext	Community		3												
	nrdNegotiationContext	Law		4												
	nrdNegotiationContext	International relations		5												
	nrdNegotiationContext	Environment		6												
	nrdNegotiationContext	Other (please specify)		7												
	nrdIRBApproval	Yes		0												
	nrdIRBApproval	No		1												
	nrdNoPIIConfirmation	Yes		0												
	nrdNoPIIConfirmation	No		1												
	nrdConsentConfirmation	Yes		0												
	nrdConsentConfirmation	No		1												
	nrdVariableConfirmation	Yes		0												
	nrdVariableConfirmation	No		1												